Wayne Gretzky
Mark Messier
Gordie Howe
Ron Francis
Jaromir Jagr *
Marcel Dionne
Steve Yzerman
Mario Lemieux
Joe Sakic
Phil Esposito
Ray Bourque
Mark Recchi
Paul Coffey
Stan Mikita
Teemu Selanne
Bryan Trottier
Adam Oates
Doug Gilmour
Dale Hawerchuk
Jari Kurri
Luc Robitaille
Brett Hull
Mike Modano
Johnny Bucyk
Brendan Shanahan
Guy Lafleur
Mats Sundin
Dave Andreychuk
Denis Savard
Mike Gartner
Pierre Turgeon
Gilbert Perreault
Alex Delvecchio
Al MacInnis 
Jean Ratelle
Joe Thornton *
Peter Stastny 
Phil Housley
Norm Ullman
Jarome Iginla *
Jean Beliveau
Larry Murphy
Jeremy Roenick
Bobby Clarke
Bernie Nicholls
Vincent Damphousse
Dino Ciccarelli
Rod Brind'Amour
Sergei Fedorov
Bobby Hull
Daniel Alfredsson
Michel Goulet
Nicklas Lidstrom
Bernie Federko
Joe Nieuwendyk
Mike Bossy
Darryl Sittler
Frank Mahovlich
Glenn Anderson
Theoren Fleury
Dave Taylor
Keith Tkachuk
Ray Whitney
Pat Verbeek
Joe Mullen
Denis Potvin
Marian Hossa *
Henri Richard
Bobby Smith
Doug Weight
Alexander Mogilny
Alex Kovalev
Brian Leetch
Martin St. Louis *
Brian Bellows
Rod Gilbert
Dale Hunter
Patrik Elias *
Pat LaFontaine
Steve Larmer
Lanny Mcdonald
Brian Propp
Paul Kariya
Rick Middleton
Dave Keon
Patrick Marleau *
Andy Bathgate
Rocket Richard
Kirk Muller
Larry Robinson
Rick Tocchet
Chris Chelios
Jason Arnott
Steve Thomas
Vincent Lecavalier *
Neal Broten
Bobby Orr
Gary Roberts
Scott Stevens
Henrik Sedin *
